Date,Closing Price,Open,Daily High,Daily Low
3/11/2020,32.98,34.62,36.35,32.56
3/10/2020,34.36,30.37,35.02,30.20
3/9/2020,31.13,32.87,34.88,27.34
3/6/2020,41.28,46.09,46.38,41.05
3/5/2020,45.90,47.13,47.57,45.65
3/4/2020,46.78,46.94,48.41,46.65
3/3/2020,47.18,47.72,48.66,46.47
3/2/2020,46.75,43.70,47.56,43.32
2/28/2020,44.76,46.49,47.03,43.85
2/27/2020,47.09,48.63,48.78,45.88
2/26/2020,48.73,50.08,50.44,48.30
2/25/2020,49.90,51.37,52.02,49.69
2/24/2020,51.43,52.60,52.64,50.45
2/21/2020,53.38,,,52.55
2/20/2020,53.78,53.50,54.50,53.22
2/19/2020,53.29,52.12,53.66,51.93
2/18/2020,52.05,,,50.88
2/14/2020,52.05,51.51,52.34,51.32
2/13/2020,51.42,51.72,51.96,50.60
2/12/2020,51.17,49.96,51.73,49.95
2/11/2020,49.94,49.61,50.69,49.58
2/10/2020,49.57,50.12,50.49,49.42
2/7/2020,50.32,51.11,51.48,50.09
2/6/2020,50.95,51.17,52.20,50.24
2/5/2020,50.75,49.51,51.88,49.47
2/4/2020,49.61,49.94,51.55,49.31
2/3/2020,50.11,51.01,51.97,49.80
1/31/2020,51.56,52.92,53.36,50.97
1/30/2020,52.14,53.09,53.20,51.66
1/29/2020,53.33,53.97,54.37,52.81
1/28/2020,53.48,52.77,54.06,52.68
1/27/2020,53.14,53.70,53.71,52.13
1/24/2020,54.19,55.69,55.95,53.85
1/23/2020,55.59,56.11,56.27,54.77
1/22/2020,56.74,,,56.03
1/21/2020,58.34,59.17,59.73,57.68
1/17/2020,58.54,58.59,58.98,58.27
1/16/2020,58.52,58.10,58.87,57.56
1/15/2020,57.81,58.20,58.36,57.36
1/14/2020,58.23,58.03,58.72,57.72
1/13/2020,58.08,59.04,59.27,57.91
1/10/2020,59.04,59.61,59.78,58.85
1/9/2020,59.56,59.99,60.31,58.66
1/8/2020,59.61,62.84,65.65,59.15
1/7/2020,62.70,62.91,63.15,62.11
1/6/2020,63.27,63.71,64.72,62.64
1/3/2020,63.05,61.18,64.09,61.13
1/2/2020,61.18,61.60,61.60,60.64
12/31/2019,61.06,61.68,61.88,60.63
12/30/2019,61.68,61.71,62.34,61.09
12/27/2019,61.72,61.73,61.97,61.24
12/26/2019,61.68,61.20,61.83,61.06
12/24/2019,61.11,60.63,61.16,60.47
12/23/2019,60.52,60.41,60.77,60.10
12/20/2019,60.44,,61.20,60.02
12/19/2019,61.22,60.86,61.47,60.79
12/18/2019,60.93,60.55,61.18,60.32
12/17/2019,60.94,60.23,61.06,60.03
12/16/2019,60.21,59.87,60.34,59.71
12/13/2019,60.07,59.36,60.48,59.27
12/12/2019,59.18,58.88,59.72,58.75
12/11/2019,58.76,59.06,59.22,58.11
12/10/2019,59.24,58.92,59.52,58.52
12/9/2019,59.02,59.11,59.25,58.23
12/6/2019,59.20,58.32,59.85,57.70
12/5/2019,58.43,58.36,59.12,58.10
12/4/2019,58.43,56.43,58.66,56.28
12/3/2019,56.10,55.96,56.80,55.35
12/2/2019,55.96,55.47,56.67,55.42
11/29/2019,55.17,58.13,58.30,55.02
11/27/2019,58.11,58.27,58.68,57.51
